Customer_ID,Full_Name,Gender,DOB,Age,Aadhaar_No,PAN_No,Email,Phone,Address,Account_Type,Account_Balance,Monthly_Income_Bracket,Loan_Amount,Credit_Score,Transaction_Type,Transaction_Amount,Transaction_Date,Branch_ID,Spending_Category,Fraud_Flag,Risk_Category,Suspicious_Activity,Consent_Flag,Consent_Date,Data_Source
,,Male,,26.37410616791368,1425933528175.9106,,,,,Loan,217532.9327281529,>10L,-10181.597050752142,298.9898543833494,Deposit,29841.843537055844,,B003,Bills,Yes,Low,No,Yes,,Branch Visit
,,Male,,98.84718578062838,1293126040380.6328,,,,,Loan,1053412.3280275736,<50K,,875.8869319320978,Investment,32257.417551787832,,B004,Travel,No,Low,No,Yes,,Mobile Banking
,,Female,,13.280923499156609,683561915889.7305,,,,,Credit,406600.7195191726,>10L,,527.033791093225,Loan EMI,59537.62812909489,,B005,Shopping,No,Medium,No,Yes,,NetBanking
,,Female,,65.64703557783197,20303938714.27545,,,,,Savings,-546174.2929421195,1L-5L,,444.4204520893728,Investment,10609.060634227904,,B001,Health,Yes,Low,No,No,,Mobile Banking
,,Female,,21.32101132043293,1065900751431.5928,,,,,Loan,191575.04505064906,>10L,,916.1119952312112,Deposit,-1779.7648720789402,,B005,Investment,No,Medium,No,No,,Credit Bureau
,,Male,,34.75116516406368,1375288292269.6726,,,,,Current,1351221.4141401444,1L-5L,,591.8482409852372,Bill Payment,16618.383985218046,,B002,Investment,Yes,Low,No,Yes,,Credit Bureau
,,Male,,32.68596114557071,551892434837.9808,,,,,Current,947838.8497054774,<50K,-779315.2709297596,954.8680744022292,Withdrawal,29105.800754129672,,B002,Travel,No,Medium,No,Yes,,Credit Bureau
,,Other,,37.69384706301016,816623961188.0962,,,,,Loan,438820.61465257074,<50K,,640.880557401074,Bill Payment,-4675.804030455092,,B004,Travel,No,Medium,No,Yes,,ATM
,,Female,,-12.444960742771705,1044001358229.8333,,,,,Loan,-17475.124393066755,<50K,1464948.9435489157,351.7040385071539,Investment,12893.115643323883,,B001,Bills,No,Medium,No,No,,Credit Bureau
,,Female,,24.622428425276503,394598001851.94684,,,,,Fixed Deposit,315338.2926303845,<50K,349061.1891006346,602.2586413728616,Withdrawal,12548.556703822946,,B002,Shopping,No,Low,No,No,,Mobile Banking
,,Female,,57.055000913402466,1129692631224.4534,,,,,Savings,231608.599654781,5L-10L,,649.0963150251134,Bill Payment,-1716.838457234815,,B002,Investment,No,High,No,No,,Branch Visit
,,Other,,41.408740311822484,346753740622.4333,,,,,Loan,934051.6251312529,<50K,,492.8883124385814,Deposit,40188.51226930249,,B003,Bills,Yes,Low,No,Yes,,Branch Visit
,,Other,,66.66119881705977,718801672330.0103,,,,,Credit,838458.5782240565,1L-5L,,742.6448605457311,Bill Payment,22909.589105937066,,B005,Investment,No,Medium,No,Yes,,Mobile Banking
,,Female,,61.11951984850528,236914151408.07556,,,,,Loan,160320.9047688454,1L-5L,1069221.2854374663,430.04977650552615,Transfer,-17717.008364817673,,B003,Health,Yes,Medium,No,No,,NetBanking
,,Other,,77.06901932757822,573279719221.7546,,,,,Current,621883.9122886637,50K-1L,,956.2379502512385,Bill Payment,4087.44155680088,,B004,Health,No,Medium,No,Yes,,Branch Visit
,,Male,,24.52726498074096,810583017343.1545,,,,,Current,1777458.8818932683,5L-10L,2283235.578506056,813.393333080236,Transfer,63558.27197701282,,B002,Travel,No,Medium,No,No,,NetBanking
,,Male,,47.45877131315537,475556575073.088,,,,,Savings,152333.92084282782,1L-5L,,543.7315039665012,Deposit,27133.81970190073,,B005,Travel,Yes,Medium,No,Yes,,Credit Bureau
,,Other,,35.2960254914181,517329948589.95776,,,,,Savings,-155704.62182369296,50K-1L,,1004.8970649931841,Withdrawal,32023.823817303553,,B003,Travel,No,Medium,No,No,,Branch Visit
,,Other,,73.45879057203278,74167715137.92328,,,,,Fixed Deposit,340834.2148296013,>10L,974829.1864129789,941.0178623291711,Investment,64335.47175375819,,B003,Shopping,No,Medium,No,Yes,,ATM
,,Other,,100.51627463969534,434618623668.8201,,,,,Fixed Deposit,-17238.079378457158,50K-1L,,354.957538877144,Transfer,60733.135637959735,,B002,Bills,No,Medium,No,No,,Mobile Banking
,,Male,,41.13193323743563,327002516633.45483,,,,,Credit,223440.4708610853,>10L,,982.0087185150776,Investment,19544.425210998023,,B005,Investment,Yes,Low,No,No,,Branch Visit
,,Male,,19.09620933515717,-156484112101.36896,,,,,Fixed Deposit,1001922.6720627642,50K-1L,1857517.0673068156,127.157154061531,Deposit,3834.519917260357,,B003,Bills,No,Low,No,Yes,,Mobile Banking
,,Male,,70.99032014419768,586711788736.1659,,,,,Current,1143793.2128876967,50K-1L,,263.4098194380711,Transfer,31253.481681929316,,B002,Bills,No,Low,No,Yes,,Credit Bureau
,,Other,,111.79942134290967,354172187470.87006,,,,,Credit,1323182.5091876804,1L-5L,1524970.3577512668,556.1011141893099,Loan EMI,22496.666851592337,,B002,Health,No,High,Yes,Yes,,Credit Bureau
,,Male,,66.47656896815218,940905823080.6516,,,,,Current,648652.2142199227,5L-10L,,256.7252945668421,Loan EMI,-3297.6965711773773,,B004,Bills,No,Low,No,Yes,,ATM
,,Other,,68.99481899228195,551189928071.1268,,,,,Fixed Deposit,175514.59935973852,50K-1L,15682.467747079994,700.5576838361052,Transfer,30111.75148666447,,B004,Shopping,No,High,No,Yes,,NetBanking
,,Female,,42.1968325989642,-231097692179.109,,,,,Fixed Deposit,673555.786576739,50K-1L,1446678.5706478565,541.0992981547696,Investment,6778.406135516318,,B004,Investment,Yes,High,No,No,,NetBanking
,,Other,,54.208626374528905,518521439314.5973,,,,,Fixed Deposit,1054797.020562899,50K-1L,,364.0035026341824,Investment,36728.5193164269,,B003,Shopping,Yes,Low,No,No,,ATM
,,Other,,69.99684632478858,314397142627.7671,,,,,Current,1169757.1331788609,1L-5L,2733286.9232115992,596.6995047840084,Withdrawal,-4154.201158856048,,B002,Investment,Yes,High,Yes,Yes,,NetBanking
,,Other,,10.235762890383139,214386135215.07568,,,,,Credit,735410.6077597891,5L-10L,3012647.089277685,701.8181135615916,Bill Payment,47973.11664109143,,B003,Travel,Yes,High,No,Yes,,Credit Bureau
,,Female,,37.845364536956986,362856268520.0372,,,,,Savings,663463.5560490126,<50K,,769.7895449027967,Withdrawal,3255.5933297478896,,B004,Travel,Yes,High,No,Yes,,ATM
,,Other,,12.121368213779299,831205977623.8044,,,,,Loan,316913.3436205862,1L-5L,-86892.82083270437,791.689262364609,Bill Payment,19855.90168803709,,B005,Bills,No,Low,No,Yes,,NetBanking
,,Female,,66.58930303205334,715981778367.2789,,,,,Current,43151.61010712851,<50K,,813.9642099019195,Loan EMI,27578.719572224218,,B003,Travel,Yes,Low,No,No,,Mobile Banking
,,Female,,51.396405760051174,274704671985.3018,,,,,Fixed Deposit,552637.5089737097,50K-1L,2082636.5276610462,715.2073203637233,Loan EMI,12907.055985356186,,B002,Shopping,Yes,Medium,No,No,,Credit Bureau
,,Other,,80.09658757075215,117687305929.74622,,,,,Current,388153.2360260301,50K-1L,466576.4658278388,631.2217001635504,Investment,30863.01471454062,,B004,Bills,Yes,Medium,No,Yes,,Branch Visit
,,Male,,47.122374456574825,256818230382.62585,,,,,Savings,174211.79412977322,5L-10L,,166.1983824104252,Transfer,19762.03934128966,,B004,Investment,Yes,High,Yes,Yes,,Credit Bureau
,,Female,,8.289193760402284,505031796475.3052,,,,,Current,901913.481245238,5L-10L,,579.4081823833206,Withdrawal,-1815.6327929108793,,B003,Investment,Yes,Low,No,No,,NetBanking
,,Male,,17.922504611865435,238060161151.79077,,,,,Current,1295256.359448273,<50K,,648.6661849223019,Loan EMI,58644.829045770304,,B001,Shopping,No,Medium,No,No,,ATM
,,Male,,35.48123896547595,932384218057.9977,,,,,Fixed Deposit,434733.29199422104,5L-10L,89030.05848896306,647.2776275844116,Bill Payment,9869.391055961365,,B005,Travel,Yes,Low,No,No,,Credit Bureau
,,Male,,27.633291727643734,789496316803.5469,,,,,Credit,810491.3928507242,5L-10L,,571.0276465087362,Investment,13731.466604467334,,B005,Health,No,Medium,No,No,,ATM
,,Male,,49.165540054499594,-188531226888.35077,,,,,Current,245636.90597365593,5L-10L,,803.992372079208,Investment,7798.6024565728585,,B001,Travel,Yes,Low,No,No,,Credit Bureau
,,Male,,31.897874657697713,730676581654.3942,,,,,Fixed Deposit,247001.45309487596,5L-10L,,264.4602158415982,Bill Payment,23299.673607877154,,B005,Health,No,Medium,No,No,,Credit Bureau
,,Other,,39.13217600424851,344836889191.8072,,,,,Loan,954909.3305106666,50K-1L,,458.9527800553944,Transfer,26629.444364664363,,B004,Travel,Yes,Low,No,Yes,,Branch Visit
,,Male,,40.23099422767637,658510789019.8,,,,,Credit,1052939.5585681782,<50K,,229.740591251083,Transfer,-73461.79991408603,,B005,Shopping,No,High,No,No,,Mobile Banking
,,Other,,43.92964699027738,232493856862.33743,,,,,Current,297832.4443292988,>10L,,466.9202068832069,Deposit,4894.7105025660885,,B002,Investment,Yes,High,No,No,,ATM
,,Male,,37.91225087840812,198197388585.2634,,,,,Fixed Deposit,456647.5331089246,5L-10L,,645.9604095755885,Withdrawal,-14412.889013935226,,B005,Health,Yes,Low,No,No,,NetBanking
,,Male,,41.04048995374492,1606252702787.8853,,,,,Credit,742939.1294185424,1L-5L,,898.4840596678202,Deposit,42392.08795298324,,B001,Bills,Yes,High,No,No,,Branch Visit
,,Female,,56.64512712518864,673451694435.6409,,,,,Fixed Deposit,-28406.676718810388,<50K,,920.2706754443798,Withdrawal,24702.84484451267,,B002,Investment,Yes,High,No,No,,Branch Visit
,,Female,,46.174046606562925,414362888188.282,,,,,Savings,164392.796872816,>10L,,254.26523220465452,Loan EMI,24459.435420888523,,B003,Bills,No,Medium,No,No,,ATM
,,Male,,47.62485061346638,603919607906.0309,,,,,Current,916636.9732414128,<50K,,497.37181701911607,Loan EMI,20737.150824377808,,B003,Travel,Yes,Low,No,Yes,,Mobile Banking
,,Female,,51.950955177276825,1066179658578.5294,,,,,Savings,724775.4196705553,1L-5L,,762.407099704651,Bill Payment,40577.67487465024,,B003,Health,Yes,Low,No,Yes,,Credit Bureau
,,Female,,53.02888430803838,522744692675.81506,,,,,Credit,288296.88594771485,>10L,1287683.326198382,538.8108128015308,Bill Payment,-9759.173814443253,,B003,Travel,Yes,Medium,No,Yes,,ATM
,,Other,,67.9337868707152,1261534799067.1868,,,,,Credit,363251.5007617386,<50K,,210.337846135275,Deposit,33141.94851314103,,B003,Investment,No,Medium,No,No,,Mobile Banking
,,Male,,35.295303631833335,249918592763.0352,,,,,Savings,1192163.0550653106,>10L,,723.5445288796944,Bill Payment,37380.81684604704,,B003,Shopping,Yes,Low,No,Yes,,Credit Bureau
,,Male,,36.58450061544225,1014921352635.3003,,,,,Fixed Deposit,953000.135907327,<50K,3587.4901853319316,515.9905010554091,Deposit,23272.64842692211,,B002,Health,No,Low,No,No,,Branch Visit
,,Male,,71.06718358505009,289189912816.2889,,,,,Fixed Deposit,427412.5036377242,<50K,1816777.3011154938,798.0180749841178,Transfer,38892.04586721759,,B004,Travel,No,High,No,Yes,,NetBanking
,,Female,,75.18342991209586,477921832895.6251,,,,,Savings,-4210.8206535266945,>10L,577330.797212006,872.7593024357035,Deposit,53424.75051692531,,B003,Travel,No,High,Yes,No,,Mobile Banking
,,Male,,-24.453312963358947,212411456731.10855,,,,,Loan,1129291.0964422352,50K-1L,,461.42121282467815,Transfer,75456.95901406897,,B002,Shopping,Yes,Medium,No,Yes,,Mobile Banking
,,Female,,54.981080993187426,523103706360.6139,,,,,Credit,228631.37044719842,<50K,,564.1845999823707,Investment,26447.42516702213,,B003,Investment,Yes,Low,No,No,,NetBanking
,,Female,,37.051470009578864,174577940023.11737,,,,,Credit,260358.10661297294,5L-10L,1161210.7201536023,817.6218493937383,Loan EMI,18400.575291452886,,B005,Travel,No,High,Yes,Yes,,ATM
,,Male,,42.449659322004834,1145946169135.9624,,,,,Savings,334533.6580926418,1L-5L,,406.7869766992375,Withdrawal,-39486.78021384483,,B005,Travel,Yes,Medium,No,Yes,,Mobile Banking
,,Female,,13.086563641376298,102257574216.43011,,,,,Fixed Deposit,1037935.444746617,1L-5L,,397.8379105073791,Deposit,16379.913534619136,,B004,Investment,No,Medium,No,No,,NetBanking
,,Other,,8.324033855578618,641024844934.6968,,,,,Loan,-510683.87839140976,<50K,,612.9371512013372,Bill Payment,44821.2456638745,,B004,Shopping,Yes,Low,No,No,,Branch Visit
,,Other,,6.998805818509926,316987641404.9162,,,,,Credit,133105.92432069505,>10L,236117.754256813,833.1648692893497,Investment,-12227.725197034662,,B002,Investment,Yes,Medium,No,No,,Credit Bureau
,,Male,,81.63362029800473,-70658895764.04614,,,,,Current,2107568.761815071,1L-5L,,670.945831628081,Transfer,20887.028274603603,,B002,Bills,No,High,No,No,,NetBanking
,,Other,,54.83768273318366,1009058972265.8489,,,,,Fixed Deposit,-101002.69776830052,5L-10L,,651.8468347073621,Withdrawal,3302.0329824456076,,B005,Shopping,Yes,High,No,Yes,,Mobile Banking
,,Male,,86.73510896601357,1467324145513.1367,,,,,Credit,-53731.20345635654,<50K,,190.4849921591788,Bill Payment,-35764.988523277745,,B001,Health,Yes,Medium,No,No,,ATM
,,Male,,39.49570150996746,528757516250.82404,,,,,Savings,595888.461410695,<50K,885561.2584799617,525.5852967397766,Deposit,61269.895949101716,,B004,Investment,No,High,No,No,,Branch Visit
,,Female,,73.25327881453286,611905413154.3076,,,,,Loan,1052543.2488165782,<50K,,1129.2100538279337,Transfer,-2680.1144209384183,,B003,Shopping,Yes,Medium,No,No,,Credit Bureau
,,Female,,58.08609952194152,964448539705.5557,,,,,Credit,1394953.684215354,50K-1L,,803.8603449299744,Loan EMI,1810.349925406188,,B002,Travel,No,Medium,No,No,,Mobile Banking
,,Male,,103.60793140177144,-139268690357.46283,,,,,Savings,678672.4654957699,1L-5L,1112021.7683325598,917.0928433576307,Loan EMI,5629.385602040251,,B002,Health,Yes,Medium,No,No,,Credit Bureau
,,Male,,32.911685462797706,381624689341.39734,,,,,Current,494721.8294343597,5L-10L,,1043.975967676798,Investment,46012.68826872683,,B004,Investment,Yes,Medium,No,Yes,,ATM
,,Male,,55.92299915951887,616833971644.0967,,,,,Current,636391.112567254,50K-1L,97021.90617404328,722.313193447385,Withdrawal,87354.52356817274,,B001,Bills,No,Low,No,Yes,,ATM
,,Male,,42.8814277249432,93870081383.73618,,,,,Savings,384237.86409019784,>10L,,695.2025023163836,Transfer,53419.805301360335,,B003,Health,No,High,No,No,,Credit Bureau
,,Female,,45.2124604834801,563731409177.6847,,,,,Loan,1058554.6020103209,5L-10L,,438.05759012817674,Deposit,12874.772463930814,,B002,Shopping,No,Medium,No,Yes,,NetBanking
,,Male,,66.02994891805969,-98416830831.96893,,,,,Fixed Deposit,573589.3846352624,50K-1L,,246.4854672765323,Deposit,44716.564597797216,,B005,Bills,Yes,Low,No,Yes,,Credit Bureau
,,Other,,81.87669863560478,288869421394.12573,,,,,Loan,1058680.3484628769,50K-1L,1866035.3260902152,663.0074453944416,Loan EMI,1076.2171852419451,,B002,Bills,Yes,Low,No,Yes,,NetBanking
,,Male,,55.288137448825516,468209169130.10144,,,,,Credit,388868.73677469994,<50K,,591.1339218948577,Transfer,35125.42997507458,,B001,Bills,No,High,No,Yes,,Mobile Banking
,,Other,,71.43183548689703,451749560381.221,,,,,Fixed Deposit,786980.795598809,50K-1L,,498.18068587963853,Transfer,-10511.574372966137,,B004,Bills,Yes,Medium,No,Yes,,Branch Visit
,,Female,,87.42135221923516,1535911222977.6538,,,,,Loan,1070544.8664405474,50K-1L,,285.3252695505515,Withdrawal,20256.39018878579,,B002,Health,No,Low,No,Yes,,Mobile Banking
,,Female,,84.38621537367277,515486777358.33545,,,,,Loan,177133.40399452834,50K-1L,,398.52645473226033,Transfer,28341.47716541814,,B001,Investment,No,High,Yes,No,,Credit Bureau
,,Other,,31.94967298191926,467709148657.63727,,,,,Current,694347.2429287828,>10L,,602.1077890938587,Bill Payment,49328.42156134009,,B002,Health,Yes,Medium,No,No,,ATM
,,Other,,20.686879258076583,925916966630.5193,,,,,Fixed Deposit,855575.5625035882,5L-10L,110004.98802634631,365.632336030313,Investment,22794.1956182527,,B003,Shopping,Yes,High,Yes,No,,ATM
,,Female,,67.79490199059511,-118489183296.85443,,,,,Current,495171.1792499693,<50K,723598.509098875,594.1879553528598,Loan EMI,33643.08400453632,,B005,Health,Yes,Low,No,Yes,,NetBanking
,,Other,,86.74347537761086,677870187720.6515,,,,,Loan,34730.15973466773,5L-10L,-284443.64605343435,659.6533662734631,Bill Payment,44423.33061439443,,B002,Investment,No,Medium,No,Yes,,NetBanking
,,Female,,42.85505214900212,734467852580.8276,,,,,Savings,398060.21573473664,>10L,-1124397.3508507733,588.7020405965593,Withdrawal,47347.446865832804,,B002,Investment,No,Medium,No,Yes,,NetBanking
,,Female,,56.66760670706177,-56916241310.54724,,,,,Savings,867625.7606291702,5L-10L,,337.66121282454867,Deposit,26831.762009387297,,B001,Investment,No,High,Yes,Yes,,Branch Visit
,,Male,,32.96898321826169,996763590465.2544,,,,,Credit,401356.0029856924,<50K,626672.1058220391,472.3929080294065,Bill Payment,-12637.961192220093,,B003,Bills,Yes,High,Yes,No,,ATM
,,Male,,12.083266990738432,930802499131.5641,,,,,Loan,742518.477605677,<50K,,831.3187050906151,Investment,42874.49142568637,,B005,Health,Yes,High,No,No,,Mobile Banking
,,Female,,83.16476672495816,894180744913.5645,,,,,Loan,-461456.078150441,<50K,,869.3516142978302,Transfer,43545.76413968439,,B004,Travel,No,Low,No,No,,Mobile Banking
,,Female,,114.74441071003959,432981544640.1184,,,,,Savings,318502.53543374967,1L-5L,,557.7890649002434,Deposit,35617.63962425688,,B004,Bills,Yes,Medium,No,No,,Credit Bureau
,,Other,,35.49451492675663,-170084112467.27136,,,,,Current,371180.6415234067,1L-5L,,1074.7714059540579,Withdrawal,7886.626272997758,,B002,Investment,No,Medium,No,Yes,,Branch Visit
,,Other,,75.64103252661697,666959380934.604,,,,,Savings,323991.68290025706,1L-5L,-92895.7446586655,539.8112092031596,Loan EMI,-30304.990267309055,,B001,Health,No,Medium,No,No,,Branch Visit
,,Female,,49.184635982292654,192449975984.87238,,,,,Fixed Deposit,346061.7219593844,1L-5L,119527.69656131386,348.01581627320553,Bill Payment,38762.799492182814,,B001,Investment,Yes,High,Yes,No,,Branch Visit
,,Male,,11.100819514723469,-434241820277.811,,,,,Fixed Deposit,88109.73702949141,50K-1L,1792629.5769741777,386.8186954791786,Investment,36425.20777964401,,B003,Investment,Yes,High,No,Yes,,ATM
,,Female,,92.26857222121748,945380178826.2852,,,,,Credit,159645.25082740904,5L-10L,,-108.06882151355921,Transfer,42134.15956871801,,B004,Travel,Yes,High,No,No,,Branch Visit
,,Male,,109.65625128757256,359761781799.2715,,,,,Savings,642466.3306096769,50K-1L,,676.6077112653436,Transfer,8423.154276503146,,B002,Investment,Yes,High,Yes,No,,Credit Bureau
,,Male,,-23.35786689741564,369438795971.64825,,,,,Current,183291.7714065254,>10L,,840.6871389362732,Transfer,16539.794019962734,,B004,Investment,No,Medium,No,No,,Credit Bureau
,,Other,,35.8065370600748,552428436295.0234,,,,,Loan,862509.5890700083,>10L,1737675.497870395,720.5319893435571,Loan EMI,58543.29251121401,,B001,Shopping,Yes,Medium,No,Yes,,Mobile Banking
,,Male,,73.88252553049044,1408501097420.7922,,,,,Savings,694970.2976450683,>10L,-298074.315071136,503.91899283043693,Loan EMI,11654.457014913783,,B001,Travel,No,Low,No,Yes,,ATM
,,Male,,64.77486638861366,223396892360.71008,,,,,Current,901470.1351743937,50K-1L,,433.66845587647066,Deposit,3527.0346306093816,,B003,Bills,Yes,Medium,No,No,,ATM
,,Male,,75.50929360118559,-37979843683.14667,,,,,Fixed Deposit,320003.6186203897,1L-5L,,858.3860082110906,Transfer,11854.602262432398,,B001,Travel,No,Medium,No,No,,Credit Bureau
,,Other,,31.11164276082865,316469972650.4313,,,,,Fixed Deposit,-65844.87820354241,<50K,2798270.798646577,479.0591295508176,Transfer,27723.89316775536,,B005,Travel,Yes,High,Yes,No,,Credit Bureau
,,Other,,101.17864348071866,-45370605923.46234,,,,,Loan,30471.03917978279,<50K,,629.7118897042579,Withdrawal,3663.904003195392,,B005,Bills,Yes,Low,No,Yes,,NetBanking
,,Male,,57.09927164776687,325237660156.42017,,,,,Fixed Deposit,-214100.30414892247,1L-5L,1836616.0008958927,949.1856941647127,Investment,15419.48899306837,,B005,Health,Yes,Medium,No,No,,ATM
,,Male,,76.94594951895743,224057866732.05118,,,,,Fixed Deposit,-269712.6646288309,50K-1L,,376.23801568581484,Investment,2204.018315609672,,B005,Shopping,No,High,No,No,,Mobile Banking
,,Female,,42.378877714952345,775365319244.5553,,,,,Loan,896.6277444310836,50K-1L,773386.577603006,437.17042618169734,Bill Payment,-7614.735366521698,,B003,Shopping,No,Medium,No,Yes,,NetBanking
,,Male,,70.62582269148712,341554005364.2425,,,,,Savings,262747.55850787857,5L-10L,,690.2245382902219,Bill Payment,44295.657969056825,,B001,Shopping,Yes,Low,No,No,,Credit Bureau
,,Female,,54.65971780258933,565677152861.3546,,,,,Current,919500.4280441848,5L-10L,1439634.5087497863,466.9399299853549,Withdrawal,14506.96996695766,,B001,Bills,No,High,No,No,,ATM
,,Other,,13.28200848818706,-180084859745.17102,,,,,Current,234253.0290582676,5L-10L,,444.5519998135472,Withdrawal,112.33448437662594,,B001,Health,Yes,Low,No,Yes,,ATM
,,Male,,70.07120614436325,402518343652.11597,,,,,Credit,332838.8328312005,1L-5L,1039201.387138553,879.1110416732263,Transfer,36834.91432915714,,B004,Shopping,Yes,Medium,No,Yes,,ATM
,,Male,,79.86729081086261,724564905557.264,,,,,Savings,508641.7902471997,5L-10L,,192.93080714495076,Deposit,-5771.990877649228,,B001,Health,Yes,Low,No,No,,Mobile Banking
,,Male,,48.875923376270165,782004210162.0918,,,,,Credit,304050.8421372135,>10L,,870.2963254862143,Investment,46334.457373859084,,B001,Bills,No,Low,No,No,,NetBanking
,,Male,,31.06338050151745,739590652813.201,,,,,Credit,1340202.791014433,5L-10L,,758.9274330445251,Bill Payment,48048.934522129486,,B005,Shopping,Yes,Low,No,Yes,,Branch Visit
,,Female,,35.407449760449836,-89161183691.7445,,,,,Credit,699863.7503427832,>10L,,349.3611934267876,Bill Payment,31977.658126502953,,B005,Health,Yes,High,No,No,,Mobile Banking
,,Other,,67.92554928251344,606629850703.1017,,,,,Savings,1012939.9911901363,5L-10L,1729227.0944510414,649.6291014568336,Loan EMI,8511.8474033675,,B002,Travel,No,Medium,No,No,,Branch Visit
,,Female,,40.68972909584589,818962748184.7941,,,,,Credit,855892.3170635046,>10L,,407.27713407814804,Transfer,23568.79297304376,,B001,Health,Yes,High,No,Yes,,Branch Visit
,,Female,,61.95517200815717,139781061297.81668,,,,,Loan,67125.40648824797,<50K,-356188.00885383924,496.2718660179747,Loan EMI,24656.352764888718,,B005,Travel,No,Low,No,No,,ATM
,,Other,,66.26674477515607,1135287994598.9175,,,,,Current,839915.8852826952,50K-1L,,230.1562229497152,Withdrawal,4930.179559370459,,B001,Health,No,Medium,No,Yes,,NetBanking
,,Female,,3.2031619959907545,508024659624.3741,,,,,Credit,597421.1610647797,<50K,,722.0647644553512,Deposit,-17769.429037364684,,B003,Investment,No,Medium,No,No,,Mobile Banking
,,Other,,-4.819586221594939,568793683728.0676,,,,,Fixed Deposit,420270.99253529776,1L-5L,,527.2119803302116,Investment,4648.015127546685,,B004,Health,No,Medium,No,Yes,,NetBanking
,,Female,,35.07369951713147,361225832616.8123,,,,,Loan,242083.50923753297,50K-1L,,-7.268601989950412,Transfer,38409.45978279786,,B001,Investment,Yes,High,No,No,,Mobile Banking
,,Male,,18.954114238876407,276001687646.73035,,,,,Credit,31105.23723666792,>10L,-354701.19146611716,369.37136258568466,Bill Payment,22405.46949740512,,B002,Travel,Yes,High,No,No,,ATM
,,Male,,94.86621502854342,1085586685456.4849,,,,,Current,1038452.9124461433,>10L,,906.566957508652,Loan EMI,-23250.413810465932,,B005,Travel,Yes,Low,No,Yes,,Credit Bureau
,,Male,,43.359441673124536,10394031355.621277,,,,,Current,6711.21430378154,1L-5L,928819.700862054,767.5177726232668,Bill Payment,56869.97463606961,,B001,Investment,No,Medium,No,No,,Credit Bureau
,,Other,,79.65146199499972,778808419848.8884,,,,,Credit,-266618.4403900496,5L-10L,6029231.980198229,637.9069631630947,Deposit,53830.252785517616,,B004,Shopping,No,Low,No,Yes,,NetBanking
,,Male,,3.1158788791561705,703509983809.8306,,,,,Fixed Deposit,470620.7609320348,<50K,,590.1740203113019,Investment,29910.163022606226,,B003,Health,Yes,High,No,No,,NetBanking
,,Male,,87.18166165016856,265435687860.83994,,,,,Fixed Deposit,108763.40700237814,>10L,,-9.600686099175505,Withdrawal,7566.524365954483,,B005,Bills,Yes,Medium,No,No,,Credit Bureau
,,Other,,49.03963366309353,1360075948729.867,,,,,Savings,318333.9893054001,5L-10L,-158769.46964428062,95.35457874394922,Loan EMI,41378.4920953578,,B001,Bills,No,High,Yes,No,,Branch Visit
